Beneficiario,RNP,Localidad,Municipio,Estado,Aprobación-Conapesca,Aprobación-Gob.Edo.
IGNACIO SARMIENTO,2507000517,"HECHO, EL",AHOME,Sin,"$63,500.00","$25,400.00"
INES CASTRO ESPINOZA,2506001078,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
AGUA DULCE,2506001060,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
JOSE PEDRO BOJORQUEZ PALACIOS,2506001110,"REFORMA, LA",ANGOSTURA,Sin,"$89,000.00","$35,600.00"
EL PEDREGON,2506001185,"REFORMA, LA",ANGOSTURA,Sin,"$89,000.00","$35,600.00"
COSTA AZUL,2506000203,COSTA AZUL,ANGOSTURA,Sin,"$73,000.00","$29,200.00"
COSTA AZUL,2506000203,COSTA AZUL,ANGOSTURA,Sin,"$73,000.00","$29,200.00"
COSTA AZUL,2506000203,COSTA AZUL,ANGOSTURA,Sin,"$73,000.00","$29,200.00"
COSTA AZUL,2506000203,COSTA AZUL,ANGOSTURA,Sin,"$73,000.00","$29,200.00"
COSTA AZUL,2506000203,COSTA AZUL,ANGOSTURA,Sin,"$73,000.00","$29,200.00"
PESCADORES DE LA BOCA DEL RIO CULIACAN,2501000448,"CASTILLO, EL",NAVOLATO,Sin,"$89,000.00","$35,600.00"
VIRGINIA RAMIREZ SC DE RL,2511002103,TOPOLOBAMPO,AHOME,Sin,"$63,500.00","$25,400.00"
PESCADORES DE LA BOCA DEL RIO CULIACAN,2501000448,"CASTILLO, EL",NAVOLATO,Sin,"$86,250.00","$34,500.00"
PESCADORES BAHIA DE CEUTA,2502000116,"CONCHAL, EL",CULIACÁN,Sin,"$89,000.00","$35,600.00"
BACHOMO,2511001154,BACHOMOBAMPO NUMERO DOS,AHOME,Sin,"$47,000.00","$18,800.00"
BACHOMO,2511001154,BACHOMOBAMPO NUMERO DOS,AHOME,Sin,"$63,500.00","$25,400.00"
PESCADORES DE LA BOCA DEL RIO CULIACAN,2501000448,"CASTILLO, EL",NAVOLATO,Sin,"$89,000.00","$35,600.00"
PESCADORES DE LA BOCA DEL RIO CULIACAN,2501000448,"CASTILLO, EL",NAVOLATO,Sin,"$73,000.00","$29,200.00"
PESCADORES DE LA BOCA DEL RIO CULIACAN,2501000448,"CASTILLO, EL",NAVOLATO,Sin,"$73,000.00","$29,200.00"
LA CURVA DE JESUS MARIA,2501001792,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
ENSENADA DE COROBOCHA,2507000756,POBLADO NUMERO CINCO,AHOME,Sin,"$63,500.00","$25,400.00"
LA CURVA DE JESUS MARIA,2501001792,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
JOSE MARTINEZ ANDRADE,2508013006,MAZATLAN,MAZATLÁN,Sin,"$90,000.00","$36,000.00"
MEDEL LOPEZ GARCIA,2506001854,"REFORMA, LA",ANGOSTURA,Sin,"$87,500.00","$35,000.00"
ENSENADA DE COROBOCHA,2507000756,POBLADO NUMERO CINCO,AHOME,Sin,"$63,500.00","$25,400.00"
GENERAL ANGEL FLORES,2501000422,"CASTILLO, EL",NAVOLATO,Sin,"$89,000.00","$35,600.00"
GENERAL ANGEL FLORES,2501000422,"CASTILLO, EL",NAVOLATO,Sin,"$89,000.00","$35,600.00"
GENERAL ANGEL FLORES,2501000422,"CASTILLO, EL",NAVOLATO,Sin,"$73,000.00","$29,200.00"
GENERAL ANGEL FLORES,2501000422,"CASTILLO, EL",NAVOLATO,Sin,"$73,000.00","$29,200.00"
DREN CINCO,2507000715,POBLADO NUMERO CINCO,AHOME,Sin,"$63,500.00","$25,400.00"
MELESIO TORRES,2507000434,"GRULLAS MARGEN IZQUIERDA, LAS",AHOME,Sin,"$89,000.00","$35,600.00"
MELESIO TORRES,2507000434,"GRULLAS MARGEN IZQUIERDA, LAS",AHOME,Sin,"$89,000.00","$35,600.00"
PUNTA DEL COYOTE BONCHI,2506001482,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ARTURO MONTOYA VELAZQUEZ,2506000336,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ARTURO MONTOYA VELAZQUEZ,2506000336,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ARTURO MONTOYA VELAZQUEZ,2506000336,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ARTURO MONTOYA VELAZQUEZ,2506000336,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ENSENADA DE COROBOCHA,2507000756,POBLADO NUMERO CINCO,AHOME,Sin,"$73,000.00","$29,200.00"
ENSENADA DE LA PALMA,2509000440,ALTATA,NAVOLATO,Sin,"$89,000.00","$35,600.00"
ENSENADA DE LA PALMA,2509000440,ALTATA,NAVOLATO,Sin,"$89,000.00","$35,600.00"
ENSENADA DE LA PALMA,2509000440,ALTATA,NAVOLATO,Sin,"$89,000.00","$35,600.00"
PUNTA DE GUADARON,2506000112,"REFORMA, LA",ANGOSTURA,Sin,"$89,000.00","$35,600.00"
PUNTA DE GUADARON,2506000112,"REFORMA, LA",ANGOSTURA,Sin,"$89,000.00","$35,600.00"
PUNTA DE GUADARON,2506000112,"REFORMA, LA",ANGOSTURA,Sin,"$90,000.00","$36,000.00"
PUNTA DE GUADARON,2506000112,"REFORMA, LA",ANGOSTURA,Sin,"$89,000.00","$35,600.00"
PUNTA DE GUADARON,2506000112,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
PUNTA DE GUADARON,2506000112,"REFORMA, LA",ANGOSTURA,Sin,"$89,000.00","$35,600.00"
PUNTA DE ACAPULTITA,2506000245,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
PUNTA DE ACAPULTITA,2506000245,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
PUNTA DE ACAPULTITA,2506000245,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
PESCADORES DE LA BRECHA,2504001567,TEACAPAN,ESCUINAPA,Sin,"$89,000.00","$35,600.00"
BOCA DEL RIO SAN LORENZO,2502000108,"ROBALAR, EL",CULIACÁN,Sin,"$90,000.00","$36,000.00"
PALMITO DEL VERDE,2504000759,PALMITO DEL VERDE,ESCUINAPA,Sin,"$26,000.00","$10,400.00"
PESCADORES DEL CAMICHIN,2504001781,ESCUINAPA,ESCUINAPA,Sin,"$89,000.00","$35,600.00"
CERRO DE SAN CARLOS,2511001246,TOPOLOBAMPO,AHOME,Sin,"$73,000.00","$29,200.00"
CERRO DE SAN CARLOS,2511001246,TOPOLOBAMPO,AHOME,Sin,"$89,000.00","$35,600.00"
CERRO DE SAN CARLOS,2511001246,TOPOLOBAMPO,AHOME,Sin,"$89,000.00","$35,600.00"
LUCIO RAMIREZ MACHADO,2505001079,"HUITUSSI, EL",GUASAVE,Sin,"$90,000.00","$36,000.00"
PESCADORES DE LAS LAJITAS,2507005029,"LAJITAS, LAS",AHOME,Sin,"$63,500.00","$25,400.00"
ENSENADA LAS AGUACAPAS,2506000278,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ENSENADA LAS AGUACAPAS,2506000278,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ENSENADA LAS AGUACAPAS,2506000278,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ENSENADA LAS AGUACAPAS,2506000278,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
SPENCER ALEXANDER FLORES ALVARADO,2501005645,"ROBALAR, EL",CULIACÁN,Sin,"$90,000.00","$36,000.00"
TRIUNFO PESQUERO DE PALMILLAS,2504000619,OJO DE AGUA DE PALMILLAS,ESCUINAPA,Sin,"$26,000.00","$10,400.00"
TRIUNFO PESQUERO DE PALMILLAS,2504000619,OJO DE AGUA DE PALMILLAS,ESCUINAPA,Sin,"$26,000.00","$10,400.00"
TRIUNFO PESQUERO DE PALMILLAS,2504000619,OJO DE AGUA DE PALMILLAS,ESCUINAPA,Sin,"$26,000.00","$10,400.00"
TRIUNFO PESQUERO DE PALMILLAS,2504000619,OJO DE AGUA DE PALMILLAS,ESCUINAPA,Sin,"$26,000.00","$10,400.00"
TRIUNFO PESQUERO DE PALMILLAS,2504000619,OJO DE AGUA DE PALMILLAS,ESCUINAPA,Sin,"$26,000.00","$10,400.00"
TRIUNFO PESQUERO DE PALMILLAS,2504000619,OJO DE AGUA DE PALMILLAS,ESCUINAPA,Sin,"$26,000.00","$10,400.00"
PESCADORES UNIDOS DEL MABIRI,2511001204,TOPOLOBAMPO,AHOME,Sin,"$89,000.00","$35,600.00"
PESCADORES UNIDOS DEL MABIRI,2511001204,TOPOLOBAMPO,AHOME,Sin,"$73,000.00","$29,200.00"
CERRO LA TUNOSA,2511001196,TOPOLOBAMPO,AHOME,Sin,"$73,000.00","$29,200.00"
CERRO LA TUNOSA,2511001196,TOPOLOBAMPO,AHOME,Sin,"$63,500.00","$25,400.00"
INDUSTRIAL DEL NORTE DE SINALOA,2511000131,TOPOLOBAMPO,AHOME,Sin,"$73,000.00","$29,200.00"
INDUSTRIAL DEL NORTE DE SINALOA,2511000131,TOPOLOBAMPO,AHOME,Sin,"$63,500.00","$25,400.00"
INDUSTRIAL DEL NORTE DE SINALOA,2511000131,TOPOLOBAMPO,AHOME,Sin,"$63,500.00","$25,400.00"
LUCIO RAMIREZ MACHADO,2505001079,"HUITUSSI, EL",GUASAVE,Sin,"$90,000.00","$36,000.00"
ALBINO SOBERANES NAVARRO,2506001748,"REFORMA, LA",ANGOSTURA,Sin,"$61,031.00","$24,412.00"
PUNTA DE BOCA,2501001107,JITZAMURI,AHOME,Sin,"$63,500.00","$25,400.00"
LUCIO RAMIREZ MACHADO,2505001079,"HUITUSSI, EL",GUASAVE,Sin,"$90,000.00","$36,000.00"
ALTURISTAS,2507000368,"COLORADO, EL",AHOME,Sin,"$63,500.00","$25,400.00"
LUCIO RAMIREZ MACHADO,2505001079,"HUITUSSI, EL",GUASAVE,Sin,"$90,000.00","$36,000.00"
BAGUIAUCE,2507000525,"COLORADO, EL",AHOME,Sin,"$89,000.00","$35,600.00"
PESCADORES DE LA CRUZ,2501000430,"CRUZ, LA",ELOTA,Sin,"$89,000.00","$35,600.00"
PESCADORES DE LA CRUZ,2501000430,"CRUZ, LA",ELOTA,Sin,"$73,000.00","$29,200.00"
PESCADORES SUFRIDOS DE ELOTA,2501005132,ELOTA,ELOTA,Sin,"$89,000.00","$35,600.00"
JOSE LUIS CASTRO VERDUZCO,2502000306,"ARENITAS, LAS",CULIACÁN,Sin,"$89,000.00","$35,600.00"
JOSE LUIS CASTRO VERDUZCO,2502000306,"ARENITAS, LAS",CULIACÁN,Sin,"$89,000.00","$35,600.00"
JOSE LUIS CASTRO VERDUZCO,2502000306,"ARENITAS, LAS",CULIACÁN,Sin,"$73,000.00","$29,200.00"
JOSE LUIS CASTRO VERDUZCO,2502000306,"ARENITAS, LAS",CULIACÁN,Sin,"$90,000.00","$36,000.00"
JOSE LUIS CASTRO VERDUZCO,2502000306,"ARENITAS, LAS",CULIACÁN,Sin,"$89,000.00","$35,600.00"
CLAUDIO COVARRUBIAS CORRALES,2508014418,MAZATLAN,MAZATLÁN,Sin,"$90,000.00","$36,000.00"
MARTHA OSUNA ZATARAIN,2508013600,MAZATLAN,MAZATLÁN,Sin,"$90,000.00","$36,000.00"
ISLOTE DEL VERDE,2506001102,"REFORMA, LA",ANGOSTURA,Sin,"$63,500.00","$25,400.00"
TEODORO CERVANTES PEREZ,2509000713,"CASTILLO, EL",NAVOLATO,Sin,"$89,000.00","$35,600.00"
TEODORO CERVANTES PEREZ,2509000713,"CASTILLO, EL",NAVOLATO,Sin,"$63,500.00","$25,400.00"
TEODORO CERVANTES PEREZ,2509000713,"CASTILLO, EL",NAVOLATO,Sin,"$89,000.00","$35,600.00"
PEDRO ZAMUDIO LIZARRAGA,2508012842,MAZATLAN,MAZATLÁN,Sin,"$89,000.00","$35,600.00"
FRANCISCO JAVIER GONZALEZ LIZARRAGA,2508012610,MAZATLAN,MAZATLÁN,Sin,"$60,000.00","$24,000.00"
PARAJE DE MELENDREZ,2509001513,YAMETO,NAVOLATO,Sin,"$90,000.00","$36,000.00"
MARCO ANTONIO ECHEAGARAY RIVERA,2504001807,TEACAPAN,ESCUINAPA,Sin,"$89,000.00","$35,600.00"
LA BOCA DE TEACAPAN,2504000098,TEACAPAN,ESCUINAPA,Sin,"$89,000.00","$35,600.00"
BARRA DE PALMITAS,2509000432,"TETUAN NUEVO, EL",NAVOLATO,Sin,"$90,000.00","$36,000.00"
BARRA DE PALMITAS,2509000432,"VERGEL, EL",NAVOLATO,Sin,"$90,000.00","$36,000.00"
BARRA DE PALMITAS,2509000432,"TETUAN NUEVO, EL",NAVOLATO,Sin,"$90,000.00","$36,000.00"
BARRA DE PALMITAS,2509000432,"TETUAN NUEVO, EL",NAVOLATO,Sin,"$89,000.00","$35,600.00"
LA PRESITA,2501001784,JESUS MARIA,CULIACÁN,Sin,"$41,500.00","$16,600.00"
DAVID PORTER,2509000184,"AGUAMITAS, LAS",NAVOLATO,Sin,"$73,000.00","$29,200.00"
DAVID PORTER,2509000184,"AGUAMITAS, LAS",NAVOLATO,Sin,"$73,000.00","$29,200.00"
DAVID PORTER,2509000184,"AGUAMITAS, LAS",NAVOLATO,Sin,"$89,000.00","$35,600.00"
DAVID PORTER,2509000184,"AGUAMITAS, LAS",NAVOLATO,Sin,"$73,000.00","$29,200.00"
DAVID PORTER,2509000184,"AGUAMITAS, LAS",NAVOLATO,Sin,"$89,000.00","$35,600.00"
DAVID PORTER,2509000184,"AGUAMITAS, LAS",NAVOLATO,Sin,"$89,000.00","$35,600.00"
DAVID PORTER,2509000184,"AGUAMITAS, LAS",NAVOLATO,Sin,"$73,000.00","$29,200.00"
DAVID PORTER,2509000184,"AGUAMITAS, LAS",NAVOLATO,Sin,"$63,500.00","$25,400.00"
DAVID PORTER,2509000184,"AGUAMITAS, LAS",NAVOLATO,Sin,"$73,000.00","$29,200.00"
DAVID PORTER,2509000184,"AGUAMITAS, LAS",NAVOLATO,Sin,"$73,000.00","$29,200.00"
LA PRESITA,2501001784,JESUS MARIA,CULIACÁN,Sin,"$55,678.00","$22,271.00"
CUALPITA,2501001271,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
ENSENADA DE LA PALMA,2509000440,ALTATA,NAVOLATO,Sin,"$63,500.00","$25,400.00"
ENSENADA DE LA PALMA,2509000440,ALTATA,NAVOLATO,Sin,"$89,000.00","$35,600.00"
FUERA DE BORDA,2507000707,"COLORADO, EL",AHOME,Sin,"$63,500.00","$25,400.00"
BOCA DE AGUILILLA,2507000350,"COLORADO, EL",AHOME,Sin,"$73,000.00","$29,200.00"
BOCA DE AGUILILLA,2507000350,"COLORADO, EL",AHOME,Sin,"$73,000.00","$29,200.00"
BOCA DE AGUILILLA,2507000350,"COLORADO, EL",AHOME,Sin,"$89,000.00","$35,600.00"
LA PRESITA,2501001784,JESUS MARIA,CULIACÁN,Sin,"$21,456.00","$8,582.00"
ESTERO DEL BOLUDO,2507005334,"COLORADO, EL",AHOME,Sin,"$63,500.00","$25,400.00"
DE ESCAMA Y CAMARON RAFAEL BUELNA TENORIO,2508014590,MAZATLAN,MAZATLÁN,Sin,"$90,000.00","$36,000.00"
PESCADORES DE BAHIA NAVACHISTE,2508000946,CASA BLANCA,GUASAVE,Sin,"$90,000.00","$36,000.00"
JOSE MARIA CANIZALES,2508001167,MARMOL DE SALCIDO (MARMOL),MAZATLÁN,Sin,"$62,865.00","$25,146.00"
EJIDO BOCA DE ARROYO,2503001154,CHOIX,CHOIX,Sin,"$63,500.00","$25,400.00"
PESCADORES DE BAHIA NAVACHISTE,2508000946,"PITAHAYAL, EL",GUASAVE,Sin,"$90,000.00","$36,000.00"
GIL JAUREGUI,2507005094,SAN PABLO,AHOME,Sin,"$73,000.00","$29,200.00"
PUNTA DEL GUAYINCARI,2507000467,"COLORADO, EL",AHOME,Sin,"$47,000.00","$18,800.00"
PUNTA DEL GUAYINCARI,2507000467,"COLORADO, EL",AHOME,Sin,"$47,000.00","$18,800.00"
PUNTA DEL GUAYINCARI,2507000467,"COLORADO, EL",AHOME,Sin,"$47,000.00","$18,800.00"
PESCADORES Y OSTIONEROS DE TEACAPAN,2504000304,PALMITO DEL VERDE,ESCUINAPA,Sin,"$89,000.00","$35,600.00"
FRANCISCO RODRIGUEZ LEAL,2505001111,"HUITUSSI, EL",GUASAVE,Sin,"$90,000.00","$36,000.00"
ENRIQUE ATONDO FAVELA,2507001416,"COLORADO, EL",AHOME,Sin,"$89,000.00","$35,600.00"
ENRIQUE ATONDO FAVELA,2507001416,"COLORADO, EL",AHOME,Sin,"$89,000.00","$35,600.00"
EL ESTACADO,2507002927,"COLORADO, EL",AHOME,Sin,"$63,500.00","$25,400.00"
EL TABACO,2507003321,"AGUAJITO, EL",AHOME,Sin,"$73,000.00","$29,200.00"
LA PUNTILLA,2507003263,JITZAMURI,AHOME,Sin,"$73,000.00","$29,200.00"
CERRO DEL TEROME,2505000709,"HUITUSSI, EL",GUASAVE,Sin,"$73,000.00","$29,200.00"
TRIUNFO PESQUERO DE PALMILLAS,2504000619,OJO DE AGUA DE PALMILLAS,ESCUINAPA,Sin,"$26,000.00","$10,400.00"
BAHIA DEL COLORADO,2501001081,MACAPULE,AHOME,Sin,"$73,000.00","$29,200.00"
BAHIA DEL COLORADO,2501001081,"COLORADO, EL",AHOME,Sin,"$90,000.00","$36,000.00"
CERRO DEL TEROME,2505000709,"HUITUSSI, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
EUSTAQUIO URIAS VALDEZ,2511001063,PAREDONES,AHOME,Sin,"$63,500.00","$25,400.00"
ARROYO CHIRIMOLE,2501001594,SAN JOSE DE CONITACA (NUEVO CONITACA),ELOTA,Sin,"$26,500.00","$10,600.00"
ARROYO CHIRIMOLE,2501001594,SAN JOSE DE CONITACA (NUEVO CONITACA),ELOTA,Sin,"$21,456.00","$8,582.00"
EUSTAQUIO URIAS VALDEZ,2511001063,PAREDONES,AHOME,Sin,"$73,000.00","$29,200.00"
ARROYO CHIRIMOLE,2501001594,"SOLITO, EL",ELOTA,Sin,"$21,456.00","$8,582.00"
ARROYO CHIRIMOLE,2501001594,PUEBLO NUEVO,ELOTA,Sin,"$26,500.00","$10,600.00"
EUSTAQUIO URIAS VALDEZ,2511001063,PAREDONES,AHOME,Sin,"$63,500.00","$25,400.00"
ARROYO CHIRIMOLE,2501001594,"SOLITO, EL",ELOTA,Sin,"$26,500.00","$10,600.00"
ARROYO CHIRIMOLE,2501001594,"SOLITO, EL",ELOTA,Sin,"$21,456.00","$8,582.00"
ARROYO CHIRIMOLE,2501001594,SAN JOSE DE CONITACA (NUEVO CONITACA),ELOTA,Sin,"$26,500.00","$10,600.00"
ARROYO CHIRIMOLE,2501001594,"SOLITO, EL",ELOTA,Sin,"$21,456.00","$8,582.00"
ARROYO CHIRIMOLE,2501001594,"SOLITO, EL",ELOTA,Sin,"$26,500.00","$10,600.00"
HORACIO FIERRO LOPEZ,2505000717,"HUITUSSI, EL",GUASAVE,Sin,"$73,000.00","$29,200.00"
PARGO COLORADO,2509001810,"AGUAMITAS, LAS",NAVOLATO,Sin,"$89,000.00","$35,600.00"
VICTOR MANUEL GARCIA TOLEDO,2508005119,MAZATLAN,MAZATLÁN,Sin,"$90,000.00","$36,000.00"
VICTOR ANDRÉS GARCÍA PADILLA,2508013907,MAZATLAN,MAZATLÁN,Sin,"$90,000.00","$36,000.00"
EUSTAQUIO URIAS VALDEZ,2511001063,PAREDONES,AHOME,Sin,"$63,500.00","$25,400.00"
ISIDRO CHICUATE LEAL,2505001194,"HUITUSSI, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
JAIBEROS DEL BITACHI,2506001912,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ISIDRO CHICUATE LEAL,2505001194,"HUITUSSI, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
ISIDRO CHICUATE LEAL,2505001194,"HUITUSSI, EL",GUASAVE,Sin,"$73,000.00","$29,200.00"
BAHIA DE VINORAMA,2505001202,"PROGRESO, EL",GUASAVE,Sin,"$73,000.00","$29,200.00"
BAHIA DE VINORAMA,2505001202,"TORTUGO, EL",GUASAVE,Sin,"$90,000.00","$36,000.00"
JOSE ROSARIO VALENZUELA CERVANTES,2505001566,PALOS VERDES,GUASAVE,Sin,"$89,000.00","$35,600.00"
JOSE ROSARIO VALENZUELA CERVANTES,2505001566,PALOS VERDES,GUASAVE,Sin,"$90,000.00","$36,000.00"
EUSEBIO SANCHEZ,2505000725,"CERRO CABEZON, EL",GUASAVE,Sin,"$90,000.00","$36,000.00"
EUSEBIO SANCHEZ,2505000725,"CERRO CABEZON, EL",GUASAVE,Sin,"$90,000.00","$36,000.00"
EUSEBIO SANCHEZ,2505000725,"CERRO CABEZON, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
EUSEBIO SANCHEZ,2505000725,"CERRO CABEZON, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
EUSTAQUIO URIAS VALDEZ,2511001063,PAREDONES,AHOME,Sin,"$63,500.00","$25,400.00"
EUSEBIO SANCHEZ,2505000725,"CERRO CABEZON, EL",GUASAVE,Sin,"$90,000.00","$36,000.00"
EUSEBIO SANCHEZ,2505000725,"CERRO CABEZON, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
ESTERO LAS AGUILILLAS,2509001463,ALTATA,NAVOLATO,Sin,"$63,500.00","$25,400.00"
DE AGUAS DULCES LA NICARAGUENSE,2501001040,PUEBLO NUEVO,CULIACÁN,Sin,"$20,000.00","$8,000.00"
DE AGUAS DULCES LA NICARAGUENSE,2501001040,PUEBLO NUEVO,CULIACÁN,Sin,"$20,000.00","$8,000.00"
DE AGUAS DULCES LA NICARAGUENSE,2501001040,PUEBLO NUEVO,CULIACÁN,Sin,"$20,000.00","$8,000.00"
DE AGUAS DULCES LA NICARAGUENSE,2501001040,PUEBLO NUEVO,CULIACÁN,Sin,"$20,000.00","$8,000.00"
DE AGUAS DULCES LA NICARAGUENSE,2501001040,PUEBLO NUEVO,CULIACÁN,Sin,"$20,000.00","$8,000.00"
DE AGUAS DULCES LA NICARAGUENSE,2501001040,PUEBLO NUEVO,CULIACÁN,Sin,"$20,000.00","$8,000.00"
ESTERO DE OPORITO,2509001471,ALTATA,NAVOLATO,Sin,"$89,000.00","$35,600.00"
DE AGUAS DULCES LA NICARAGUENSE,2501001040,"CARRIZAL, EL",CULIACÁN,Sin,"$20,000.00","$8,000.00"
RIBEREÑOS DEL COMEDERO,2501001156,"ILAMA, LA",COSALÁ,Sin,"$27,500.00","$11,000.00"
RIBEREÑOS DEL COMEDERO,2501001156,"ILAMA, LA",COSALÁ,Sin,"$27,500.00","$11,000.00"
PRODUCTORES DE MEZCALTITAN,2501001453,MEZCALTITAN,COSALÁ,Sin,"$27,500.00","$11,000.00"
PRODUCTORES DE MEZCALTITAN,2501001453,MEZCALTITAN,COSALÁ,Sin,"$45,844.00","$18,337.00"
RIBEREÑOS DEL COMEDERO,2501001156,"ILAMA, LA",COSALÁ,Sin,"$45,844.00","$18,337.00"
RIBEREÑOS DEL COMEDERO,2501001156,"ILAMA, LA",COSALÁ,Sin,"$45,844.00","$18,337.00"
RIBEREÑOS DEL COMEDERO,2501001156,"ILAMA, LA",COSALÁ,Sin,"$45,844.00","$18,337.00"
RIBEREÑOS DEL COMEDERO,2501001156,"ILAMA, LA",COSALÁ,Sin,"$45,844.00","$18,337.00"
RIBEREÑOS DEL COMEDERO,2501001156,"ILAMA, LA",COSALÁ,Sin,"$45,844.00","$18,337.00"
RIBEREÑOS DEL COMEDERO,2501001156,"ILAMA, LA",COSALÁ,Sin,"$27,500.00","$11,000.00"
RIBEREÑOS DEL COMEDERO,2501001156,"ILAMA, LA",COSALÁ,Sin,"$45,844.00","$18,337.00"
PUNTA TIBURON,2508003882,MAZATLAN,MAZATLÁN,Sin,"$62,865.00","$25,146.00"
PUNTA TIBURON,2508003882,MAZATLAN,MAZATLÁN,Sin,"$62,865.00","$25,146.00"
PRODUCTORES DE MEZCALTITAN,2501001453,MEZCALTITAN,COSALÁ,Sin,"$27,500.00","$11,000.00"
PRODUCTORES DE MEZCALTITAN,2501001453,MEZCALTITAN,COSALÁ,Sin,"$45,844.00","$18,337.00"
PRODUCTORES DEL CERRO CABEZON,2505000238,"CERRO CABEZON, EL",GUASAVE,Sin,"$73,000.00","$29,200.00"
PRODUCTORES DEL CERRO CABEZON,2505000238,"CERRO CABEZON, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
PRODUCTORES DEL CERRO CABEZON,2505000238,"CERRO CABEZON, EL",GUASAVE,Sin,"$63,500.00","$25,400.00"
PRODUCTORES DEL CERRO CABEZON,2505000238,"CERRO CABEZON, EL",GUASAVE,Sin,"$63,500.00","$25,400.00"
PRODUCTORES DEL CERRO CABEZON,2505000238,"CERRO CABEZON, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
RIO MOCORITO,2506000393,POTRERILLOS,MOCORITO,Sin,"$39,950.00","$15,980.00"
RIO MOCORITO,2506000393,GUAMUCHIL,SALVADOR ALVARADO,Sin,"$39,950.00","$15,980.00"
LEYVA COTA,2507003032,PAREDONES,AHOME,Sin,"$63,500.00","$25,400.00"
PISCIS DE ANGOSTURA,2501001099,GUAMUCHIL,SALVADOR ALVARADO,Sin,"$39,950.00","$15,980.00"
HORACIO FIERRO LOPEZ,2505000717,"HUITUSSI, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
JOSE MARIA PEREA,2505001061,"CERRO CABEZON, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
PISCIS DE ANGOSTURA,2501001099,GUAMUCHIL,SALVADOR ALVARADO,Sin,"$39,950.00","$15,980.00"
TRES ROSAS,2506000138,GUAMUCHIL,SALVADOR ALVARADO,Sin,"$39,950.00","$15,980.00"
TRES ROSAS,2506000138,GUAMUCHIL,SALVADOR ALVARADO,Sin,"$39,950.00","$15,980.00"
JOSE MARIA PEREA,2505001061,"CERRO CABEZON, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
VEINTIDOS QUINCE,2505000915,"CARACOL, EL",GUASAVE,Sin,"$73,000.00","$29,200.00"
VEINTIDOS QUINCE,2505000915,"CARACOL, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
ROSENDO VALENCIA GONZALEZ,2508013063,MAZATLAN,MAZATLÁN,Sin,"$89,000.00","$35,600.00"
GENERAL MACARIO GAXIOLA,2501000406,"PUENTES, LAS (GUADALUPE VICTORIA)",NAVOLATO,Sin,"$63,500.00","$25,400.00"
GENERAL MACARIO GAXIOLA,2501000406,"PUENTES, LAS (GUADALUPE VICTORIA)",NAVOLATO,Sin,"$63,500.00","$25,400.00"
GENERAL MACARIO GAXIOLA,2501000406,"PUENTES, LAS (GUADALUPE VICTORIA)",NAVOLATO,Sin,"$63,500.00","$25,400.00"
GENERAL MACARIO GAXIOLA,2501000406,"PUENTES, LAS (GUADALUPE VICTORIA)",NAVOLATO,Sin,"$63,500.00","$25,400.00"
PESCADORES DE BAHIA DE MACAPULE,2505000279,"TORTUGO, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
PESCADORES DE BAHIA DE MACAPULE,2505000279,"TORTUGO, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
PESCADORES DE BAHIA DE MACAPULE,2505000279,"TORTUGO, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
